001  00119 |Loss: 1.935 | Acc: 28.342% 
001  00120 |Loss: 1.932 | Acc: 28.457% 
001  00121 |Loss: 1.930 | Acc: 28.538% 
001  00122 |Loss: 1.928 | Acc: 28.586% 
001  00123 |Loss: 1.926 | Acc: 28.703% 
001  00124 |Loss: 1.923 | Acc: 28.774% 
001  00125 |Loss: 1.921 | Acc: 28.831% 
001  00126 |Loss: 1.919 | Acc: 28.912% 
001  00127 |Loss: 1.917 | Acc: 29.042% 
001  00128 |Loss: 1.914 | Acc: 29.156% 
001  00129 |Loss: 1.912 | Acc: 29.233% 
001  00130 |Loss: 1.910 | Acc: 29.315% 
001  00131 |Loss: 1.909 | Acc: 29.330% 
001  00132 |Loss: 1.908 | Acc: 29.350% 
001  00133 |Loss: 1.907 | Acc: 29.411% 
001  00134 |Loss: 1.905 | Acc: 29.530% 
001  00135 |Loss: 1.903 | Acc: 29.606% 
001  00136 |Loss: 1.900 | Acc: 29.688% 
001  00137 |Loss: 1.898 | Acc: 29.745% 
001  00138 |Loss: 1.895 | Acc: 29.823% 
001  00139 |Loss: 1.894 | Acc: 29.918% 
001  00140 |Loss: 1.891 | Acc: 30.022% 
001  00141 |Loss: 1.890 | Acc: 30.042% 
001  00142 |Loss: 1.888 | Acc: 30.139% 
001  00143 |Loss: 1.886 | Acc: 30.141% 
001  00144 |Loss: 1.884 | Acc: 30.252% 
001  00145 |Loss: 1.882 | Acc: 30.296% 
001  00146 |Loss: 1.880 | Acc: 30.410% 
001  00147 |Loss: 1.879 | Acc: 30.442% 
001  00148 |Loss: 1.877 | Acc: 30.506% 
001  00149 |Loss: 1.874 | Acc: 30.616% 
001  00150 |Loss: 1.873 | Acc: 30.646% 
001  00151 |Loss: 1.872 | Acc: 30.686% 
001  00152 |Loss: 1.870 | Acc: 30.715% 
001  00153 |Loss: 1.870 | Acc: 30.750% 
001  00154 |Loss: 1.869 | Acc: 30.788% 
001  00155 |Loss: 1.867 | Acc: 30.857% 
001  00156 |Loss: 1.865 | Acc: 30.914% 
001  00157 |Loss: 1.864 | Acc: 30.946% 
001  00158 |Loss: 1.862 | Acc: 31.003% 
001  00159 |Loss: 1.860 | Acc: 31.063% 
001  00160 |Loss: 1.859 | Acc: 31.074% 
001  00161 |Loss: 1.858 | Acc: 31.061% 
001  00162 |Loss: 1.857 | Acc: 31.086% 
001  00163 |Loss: 1.855 | Acc: 31.140% 
001  00164 |Loss: 1.855 | Acc: 31.174% 
001  00165 |Loss: 1.854 | Acc: 31.231% 
001  00166 |Loss: 1.852 | Acc: 31.283% 
001  00167 |Loss: 1.851 | Acc: 31.330% 
001  00168 |Loss: 1.849 | Acc: 31.427% 
001  00169 |Loss: 1.847 | Acc: 31.486% 
001  00170 |Loss: 1.846 | Acc: 31.507% 
001  00171 |Loss: 1.845 | Acc: 31.556% 
001  00172 |Loss: 1.844 | Acc: 31.627% 
001  00173 |Loss: 1.841 | Acc: 31.670% 
001  00174 |Loss: 1.840 | Acc: 31.726% 
001  00175 |Loss: 1.839 | Acc: 31.750% 
001  00176 |Loss: 1.838 | Acc: 31.796% 
001  00177 |Loss: 1.836 | Acc: 31.824% 
001  00178 |Loss: 1.834 | Acc: 31.904% 
001  00179 |Loss: 1.832 | Acc: 31.979% 
001  00180 |Loss: 1.831 | Acc: 32.018% 
001  00181 |Loss: 1.830 | Acc: 32.066% 
001  00182 |Loss: 1.828 | Acc: 32.139% 
001  00183 |Loss: 1.826 | Acc: 32.232% 
001  00184 |Loss: 1.824 | Acc: 32.333% 
001  00185 |Loss: 1.822 | Acc: 32.407% 
001  00186 |Loss: 1.821 | Acc: 32.472% 
001  00187 |Loss: 1.820 | Acc: 32.478% 
001  00188 |Loss: 1.819 | Acc: 32.551% 
001  00189 |Loss: 1.817 | Acc: 32.577% 
001  00190 |Loss: 1.815 | Acc: 32.607% 
001  00191 |Loss: 1.814 | Acc: 32.678% 
001  00192 |Loss: 1.813 | Acc: 32.723% 
001  00193 |Loss: 1.811 | Acc: 32.772% 
001  00194 |Loss: 1.810 | Acc: 32.804% 
001  00195 |Loss: 1.808 | Acc: 32.893% 
001  00196 |Loss: 1.807 | Acc: 32.928% 
001  00197 |Loss: 1.804 | Acc: 33.007% 
001  00198 |Loss: 1.803 | Acc: 33.085% 
001  00199 |Loss: 1.801 | Acc: 33.146% 
001  00200 |Loss: 1.799 | Acc: 33.211% 
001  00201 |Loss: 1.798 | Acc: 33.263% 
001  00202 |Loss: 1.797 | Acc: 33.300% 
001  00203 |Loss: 1.796 | Acc: 33.351% 
001  00204 |Loss: 1.794 | Acc: 33.383% 
001  00205 |Loss: 1.792 | Acc: 33.449% 
001  00206 |Loss: 1.791 | Acc: 33.522% 
001  00207 |Loss: 1.790 | Acc: 33.575% 
001  00208 |Loss: 1.789 | Acc: 33.575% 
001  00209 |Loss: 1.788 | Acc: 33.601% 
001  00210 |Loss: 1.787 | Acc: 33.664% 
001  00211 |Loss: 1.785 | Acc: 33.723% 
001  00212 |Loss: 1.784 | Acc: 33.774% 
001  00213 |Loss: 1.783 | Acc: 33.803% 
001  00214 |Loss: 1.781 | Acc: 33.886% 
001  00215 |Loss: 1.781 | Acc: 33.903% 
001  00216 |Loss: 1.780 | Acc: 33.945% 
001  00217 |Loss: 1.778 | Acc: 33.993% 
001  00218 |Loss: 1.777 | Acc: 34.035% 
001  00219 |Loss: 1.775 | Acc: 34.082% 
001  00220 |Loss: 1.775 | Acc: 34.126% 
001  00221 |Loss: 1.773 | Acc: 34.177% 
001  00222 |Loss: 1.773 | Acc: 34.231% 
001  00223 |Loss: 1.772 | Acc: 34.280% 
001  00224 |Loss: 1.771 | Acc: 34.326% 
001  00225 |Loss: 1.769 | Acc: 34.378% 
